,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,AMZN,"Amazon.com, Inc.","2,427.39B",-4.05%,77454000,637.96B
1,TSLA,"Tesla, Inc.","1,163.16B",-4.53%,67749661,97.69B
2,HD,"The Home Depot, Inc.",404.67B,-1.80%,1695281,154.60B
3,TM,Toyota Motor Corporation,244.34B,-3.35%,459304,297.33B
4,BABA,Alibaba Group Holding Limited,233.96B,2.85%,39535118,137.14B
5,MCD,McDonald's Corporation,210.90B,-0.02%,2229908,25.94B
6,BKNG,Booking Holdings Inc.,161.76B,2.25%,408950,23.05B
7,PDD,PDD Holdings Inc.,158.69B,1.02%,9574858,53.05B
8,LOW,"Lowe's Companies, Inc.",142.26B,-1.93%,1495814,83.72B
9,TJX,"The TJX Companies, Inc.",140.17B,-1.17%,3216617,56.42B
10,SBUX,Starbucks Corporation,127.45B,0.59%,11454621,36.15B
11,NKE,"NIKE, Inc.",101.59B,-4.11%,24613283,48.98B
12,MELI,"MercadoLibre, Inc.",101.22B,-0.82%,322220,18.49B
13,MAR,"Marriott International, Inc.",84.47B,0.51%,1589733,6.57B
14,ABNB,"Airbnb, Inc.",84.33B,1.80%,5232622,10.84B
15,RACE,Ferrari N.V.,79.86B,-3.28%,397992,6.91B
16,CMG,"Chipotle Mexican Grill, Inc.",77.62B,-0.30%,6449847,11.31B
17,ORLY,"O'Reilly Automotive, Inc.",75.69B,-1.05%,276215,16.71B
18,RCL,Royal Caribbean Cruises Ltd.,71.11B,-2.14%,1296652,16.48B
19,SE,Sea Limited,70.64B,-0.38%,2470607,15.49B
20,HLT,Hilton Worldwide Holdings Inc.,64.89B,-0.26%,1639591,4.75B
21,JD,"JD.com, Inc.",58.23B,0.23%,8218787,159.37B
22,AZO,"AutoZone, Inc.",57.40B,-1.16%,71596,18.58B
23,CVNA,Carvana Co.,55.77B,-0.06%,1518108,12.55B
24,LULU,Lululemon Athletica Inc.,48.33B,-3.37%,1487947,10.18B
25,FLUT,Flutter Entertainment plc,47.81B,0.91%,756821,13.57B
26,GM,General Motors Company,47.15B,-1.21%,8253615,187.44B
27,ROST,"Ross Stores, Inc.",47.04B,-1.68%,2762573,21.24B
28,TCOM,Trip.com Group Limited,45.07B,0.74%,3138141,7.25B
29,HMC,"Honda Motor Co., Ltd.",42.92B,-1.73%,1030282,150.89B
30,CPNG,"Coupang, Inc.",42.54B,-0.88%,7487958,28.86B
31,DHI,"D.R. Horton, Inc.",40.65B,-4.80%,6024864,36.69B
32,YUM,"Yum! Brands, Inc.",40.05B,0.34%,2360985,7.55B
33,F,Ford Motor Company,36.62B,-0.11%,126424339,184.99B
34,STLA,Stellantis N.V.,35.53B,0.23%,12273127,188.78B
35,CCL,Carnival Corporation & plc,35.02B,-2.51%,12037251,25.02B
36,EBAY,eBay Inc.,32.49B,0.07%,2544692,10.27B
37,LEN,Lennar Corporation,32.38B,-3.90%,4231491,35.44B
38,LVS,Las Vegas Sands Corp.,31.16B,1.72%,8358268,11.30B
39,IP,International Paper Company,29.56B,0.61%,29030500,18.62B
40,QSR,Restaurant Brands International Inc.,28.91B,0.08%,1649661,7.93B
41,TSCO,Tractor Supply Company,28.29B,-0.21%,6337948,14.88B
42,SW,Smurfit Westrock Plc,28.00B,-1.48%,2622206,16.43B
43,EXPE,"Expedia Group, Inc.",26.06B,17.05%,9179250,13.69B
44,LI,Li Auto Inc.,25.96B,4.61%,7802329,20.23B
45,DECK,Deckers Outdoor Corporation,25.53B,-2.40%,3004331,4.92B
46,WSM,"Williams-Sonoma, Inc.",25.51B,-1.78%,974781,7.53B
47,ROL,"Rollins, Inc.",24.25B,-0.36%,2428735,3.31B
48,DRI,"Darden Restaurants, Inc.",23.10B,-1.60%,775410,11.58B
49,VIK,Viking Holdings Ltd,22.78B,1.77%,3580966,5.10B
50,NVR,"NVR, Inc.",22.76B,-2.35%,22693,10.69B
51,PHM,"PulteGroup, Inc.",21.43B,-3.19%,2156933,17.95B
52,IHG,InterContinental Hotels Group PLC,21.30B,0.10%,186944,3.82B
53,DKNG,DraftKings Inc.,20.62B,-0.38%,6016956,4.61B
54,DKS,"DICK'S Sporting Goods, Inc.",19.06B,-2.64%,767877,13.43B
55,PKG,Packaging Corporation of America,18.75B,-0.99%,663725,8.38B
56,YUMC,"Yum China Holdings, Inc.",18.25B,-4.32%,2834867,11.30B
57,BBY,"Best Buy Co., Inc.",18.15B,-1.65%,2432588,42.23B
58,ONON,On Holding AG,18.06B,-5.54%,4300221,2.56B
59,ULTA,"Ulta Beauty, Inc.",17.38B,-6.62%,1870983,11.36B
60,AS,"Amer Sports, Inc.",16.90B,-3.72%,2360643,4.84B
61,TPR,"Tapestry, Inc.",16.64B,-2.48%,6777444,6.78B
