,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,WMT,Walmart Inc.,829.13B,0.72%,4329600,673.82B
1,COST,Costco Wholesale Corporation,472.60B,0.60%,618034,258.81B
2,PG,The Procter & Gamble Company,398.19B,0.23%,2338795,84.35B
3,KO,The Coca-Cola Company,292.69B,0.51%,9300864,47.06B
4,PM,Philip Morris International Inc.,232.58B,1.08%,1711129,37.88B
5,PEP,"PepsiCo, Inc.",197.85B,-0.99%,2181955,91.85B
6,UL,Unilever PLC,145.25B,0.44%,985012,64.60B
7,BUD,Anheuser-Busch InBev SA/NV,99.55B,2.26%,1542666,59.40B
8,BTI,British American Tobacco p.l.c.,92.74B,-0.33%,1892667,33.09B
9,MO,"Altria Group, Inc.",90.56B,-0.78%,1639840,20.44B
10,MDLZ,"Mondelez International, Inc.",77.74B,-0.58%,2883674,36.44B
11,CL,Colgate-Palmolive Company,70.88B,-0.87%,1038606,20.10B
12,DEO,Diageo plc,59.92B,-0.95%,504117,20.21B
13,TGT,Target Corporation,58.74B,-2.38%,2615076,107.57B
14,KR,The Kroger Co.,47.33B,0.55%,1815535,149.88B
15,MNST,Monster Beverage Corporation,46.43B,-0.67%,678853,7.41B
16,KMB,Kimberly-Clark Corporation,44.35B,0.35%,451893,20.06B
17,KDP,Keurig Dr Pepper Inc.,42.82B,0.51%,2667600,15.15B
18,KVUE,Kenvue Inc.,39.96B,0.67%,2414552,15.46B
19,CCEP,Coca-Cola Europacific Partners PLC,37.39B,-0.48%,539354,20.52B
20,KHC,The Kraft Heinz Company,34.47B,-3.63%,10885644,25.85B
21,SYY,Sysco Corporation,34.41B,-0.34%,775419,80.57B
22,GIS,"General Mills, Inc.",32.67B,-0.32%,1672542,19.90B
23,HSY,The Hershey Company,31.94B,-0.27%,461196,11.20B
24,ABEV,Ambev S.A.,29.91B,-0.27%,7199052,15.13B
25,STZ,"Constellation Brands, Inc.",29.28B,-1.63%,539422,10.18B
26,FMX,"Fomento Económico Mexicano, S.A.B. de C.V.",29.02B,-0.94%,120209,38.59B
27,K,Kellanova,28.37B,0.12%,360374,12.75B
28,CHD,"Church & Dwight Co., Inc.",26.02B,1.20%,438383,6.11B
29,EL,The Estée Lauder Companies Inc.,24.76B,-2.67%,1561888,15.18B
30,ADM,Archer-Daniels-Midland Company,21.91B,-1.40%,823988,85.53B
31,TSN,"Tyson Foods, Inc.",20.76B,-0.99%,355242,53.61B
32,MKC.V,"McCormick & Company, Incorporated",20.70B,-1.68%,2567,6.72B
33,MKC,"McCormick & Company, Incorporated",20.66B,-0.21%,336867,6.72B
34,CLX,The Clorox Company,18.36B,-0.44%,199336,7.17B
35,SFM,"Sprouts Farmers Market, Inc.",17.06B,2.67%,406331,7.42B
36,KOF,"Coca-Cola FEMSA, S.A.B. de C.V.",17.04B,2.28%,83194,13.66B
37,USFD,US Foods Holding Corp.,16.20B,-0.22%,693527,37.32B
38,DG,Dollar General Corporation,16.09B,-1.25%,798938,40.17B
39,HRL,Hormel Foods Corporation,15.78B,-1.45%,564426,11.92B
40,DLTR,"Dollar Tree, Inc.",15.43B,-0.67%,574266,31.22B
41,BF.A,Brown-Forman Corporation,14.88B,-1.56%,34658,4.08B
42,BJ,"BJ's Wholesale Club Holdings, Inc.",14.11B,-0.04%,470851,20.58B
43,PFGC,Performance Food Group Company,13.27B,0.54%,709087,56.50B
44,PRMB,Primo Brands Corporation,12.74B,0.18%,391421,4.84B
45,ACI,"Albertsons Companies, Inc.",12.38B,0.49%,1524331,79.93B
46,COKE,"Coca-Cola Consolidated, Inc.",12.28B,-1.26%,7314,6.78B
47,PPC,Pilgrim's Pride Corporation,12.21B,-0.75%,566393,18.03B
48,CAG,"Conagra Brands, Inc.",11.99B,0.78%,1919973,11.93B
49,CPB,The Campbell's Company,11.39B,-0.16%,627686,9.89B
50,TAP.A,Molson Coors Beverage Company,11.13B,-0.03%,441,11.68B
51,TAP,Molson Coors Beverage Company,10.96B,-1.41%,1340670,11.68B
52,SJM,The J. M. Smucker Company,10.94B,-1.50%,552452,8.83B
53,BRBR,"BellRing Brands, Inc.",9.98B,2.13%,142343,2.10B
54,HIMS,"Hims & Hers Health, Inc.",9.92B,4.23%,3875287,1.24B
55,BG,Bunge Global SA,9.71B,-0.04%,458202,53.11B
56,TAL,TAL Education Group,8.81B,4.54%,8431990,2.07B
57,EDU,New Oriental Education & Technology Group Inc.,8.67B,-2.77%,827289,4.82B
58,SFD,"Smithfield Foods, Inc.",8.37B,0.09%,2264,14.19B
59,INGR,Ingredion Incorporated,8.27B,-0.12%,105874,7.43B
60,LW,"Lamb Weston Holdings, Inc.",8.21B,-2.04%,490178,6.33B
61,OLLI,"Ollie's Bargain Outlet Holdings, Inc.",6.37B,0.55%,205342,2.25B
62,POST,"Post Holdings, Inc.",6.31B,0.06%,152563,7.93B
63,DAR,Darling Ingredients Inc.,6.30B,-1.04%,479563,5.72B
64,FRPT,"Freshpet, Inc.",6.29B,-0.96%,290560,927.89M
65,LRN,"Stride, Inc.",6.01B,1.17%,157263,2.19B
66,BRFS,BRF S.A.,5.99B,-2.87%,780378,10.70B
67,CALM,"Cal-Maine Foods, Inc.",5.55B,-0.77%,297535,3.08B
68,LOPE,"Grand Canyon Education, Inc.",5.23B,-0.24%,33250,1.02B
69,LANC,Lancaster Colony Corporation,5.22B,-0.78%,57997,1.90B
70,COTY,Coty Inc.,5.05B,-5.70%,4929545,6.09B
71,CELH,"Celsius Holdings, Inc.",5.03B,-2.90%,3267411,1.37B
72,IPAR,"Interparfums, Inc.",4.40B,-0.93%,29407,1.42B
73,ELF,"e.l.f. Beauty, Inc.",4.14B,-4.60%,2010524,1.30B
74,GHC,Graham Holdings Company,4.05B,-1.72%,3696,4.71B
75,ATGE,Adtalem Global Education Inc.,3.91B,-1.37%,12426,1.69B
76,FLO,"Flowers Foods, Inc.",3.90B,-1.15%,349796,5.10B
77,SMPL,The Simply Good Foods Company,3.85B,-0.07%,6763,1.36B
78,FIZZ,National Beverage Corp.,3.69B,-1.20%,882,1.19B
79,TBBB,BBB Foods Inc.,3.13B,-0.56%,591764,2.73B
80,RLX,RLX Technology Inc.,3.00B,-0.81%,1806933,307.80M
81,LAUR,"Laureate Education, Inc.",2.98B,-0.60%,279859,1.55B
82,NWL,Newell Brands Inc.,2.94B,-3.89%,3182205,7.58B
83,NOMD,Nomad Foods Limited,2.84B,0.31%,127824,3.42B
84,PSMT,"PriceSmart, Inc.",2.82B,-1.15%,35042,5.01B
85,AKO.A,Embotelladora Andina S.A.,2.80B,-1.72%,609,3.24B
86,AKO.B,Embotelladora Andina S.A.,2.80B,-2.63%,10142,3.24B
87,SAM,"The Boston Beer Company, Inc.",2.54B,-3.72%,75439,2.00B
88,CENT,Central Garden & Pet Company,2.52B,-2.11%,15521,3.22B
89,CHEF,"The Chefs' Warehouse, Inc.",2.48B,12.77%,967013,3.79B
90,JJSF,J&J Snack Foods Corp.,2.47B,-0.97%,21018,1.59B
91,STRA,"Strategic Education, Inc.",2.44B,-0.31%,23193,1.21B
92,KLC,"KinderCare Learning Companies, Inc.",2.42B,-0.17%,97812,2.63B
93,CCU,Compañía Cervecerías Unidas S.A.,2.34B,0.12%,19092,2.80B
94,CENTA,Central Garden & Pet Company,2.27B,-1.32%,52918,3.22B
95,COCO,"The Vita Coco Company, Inc.",2.26B,-0.01%,197761,494.86M
96,TR,"Tootsie Roll Industries, Inc.",2.19B,-1.60%,23480,727.12M
97,SPB,"Spectrum Brands Holdings, Inc.",2.01B,-0.55%,172963,2.97B
98,UTZ,"Utz Brands, Inc.",1.94B,-0.15%,234064,1.42B
99,WMK,"Weis Markets, Inc.",1.91B,-0.72%,14678,4.76B
100,UNFI,"United Natural Foods, Inc.",1.88B,1.23%,101014,31.30B
101,PRDO,Perdoceo Education Corporation,1.85B,-0.97%,40737,652.75M
102,THS,"TreeHouse Foods, Inc.",1.68B,-2.21%,329531,3.36B
103,GO,Grocery Outlet Holding Corp.,1.65B,0.65%,461139,4.26B
104,VITL,"Vital Farms, Inc.",1.55B,-0.74%,354465,576.13M
105,AFYA,Afya Limited,1.52B,0.21%,19902,584.95M
106,KLG,WK Kellogg Co,1.51B,2.71%,549125,2.71B
107,UTI,"Universal Technical Institute, Inc.",1.50B,-1.06%,182624,759.42M
108,DNUT,"Krispy Kreme, Inc.",1.48B,-2.65%,448402,1.71B
109,FDP,Fresh Del Monte Produce Inc.,1.47B,-0.42%,50058,4.28B
110,EPC,Edgewell Personal Care Company,1.39B,1.15%,152168,2.24B
111,ANDE,"The Andersons, Inc.",1.38B,-0.63%,53640,11.35B
112,UVV,Universal Corporation,1.33B,-0.19%,23735,2.83B
113,DOLE,Dole plc,1.29B,-1.99%,71908,8.38B
114,HELE,Helen of Troy Limited,1.26B,-2.03%,101902,1.91B
115,COUR,"Coursera, Inc.",1.25B,-0.38%,265722,694.67M
116,TPB,"Turning Point Brands, Inc.",1.24B,2.88%,69012,409.41M
117,IMKTA,"Ingles Markets, Incorporated",1.23B,0.30%,23049,5.45B
118,DAO,"Youdao, Inc.",1.14B,11.35%,192696,822.10M
119,UDMY,"Udemy, Inc.",1.13B,0.39%,105364,776.17M
120,NGVC,"Natural Grocers by Vitamin Cottage, Inc.",1.12B,1.48%,44938,1.27B
121,AGRO,Adecoagro S.A.,986.69M,1.08%,99000,1.41B
122,STKL,SunOpta Inc.,866.76M,-1.83%,115951,711.68M
123,JBSS,"John B. Sanfilippo & Son, Inc.",836.89M,-0.47%,20489,1.12B
124,AVO,"Mission Produce, Inc.",820.48M,-1.45%,62470,1.23B
125,DDL,Dingdong (Cayman) Limited,738.89M,2.41%,281657,3.16B
126,MGPI,"MGP Ingredients, Inc.",708.54M,-2.70%,74093,737.72M
127,SPTN,SpartanNash Company,707.84M,8.87%,224912,9.55B
128,GOTU,Gaotu Techedu Inc.,670.17M,3.56%,1937237,559.69M
129,HNST,"The Honest Company, Inc.",611.32M,-1.25%,458135,368.77M
130,WEST,Westrock Coffee Company,609.87M,-2.48%,37839,836.72M
131,USNA,"USANA Health Sciences, Inc.",581.03M,-1.57%,53531,861.97M
132,SENEB,Seneca Foods Corporation,550.24M,12.64%,201,1.54B
133,LINC,Lincoln Educational Services Corporation,542.70M,-1.43%,18330,423.21M
134,SENEA,Seneca Foods Corporation,540.06M,-1.30%,2935,1.54B
135,BRCC,BRC Inc.,539.30M,-1.19%,115977,405.26M
136,ZSPC,"zSpace, Inc.",519.42M,11.78%,29454,41.62M
137,HLF,Herbalife Ltd.,514.54M,-3.34%,445114,5.00B
138,VLGEA,"Village Super Market, Inc.",506.74M,-1.54%,3162,2.26B
139,SNDL,SNDL Inc.,487.19M,0.83%,633820,674.50M
140,FC,Franklin Covey Co.,478.34M,-4.50%,1862,287.92M
141,BGS,"B&G Foods, Inc.",474.98M,0.08%,289991,1.96B
142,CVGW,"Calavo Growers, Inc.",421.41M,2.05%,74257,661.54M
143,CDXC,ChromaDex Corporation,417.78M,-0.27%,109886,91.67M
144,LMNR,Limoneira Company,412.66M,-0.78%,3224,191.50M
145,EWCZ,"European Wax Center, Inc.",394.90M,-1.21%,2402,223.50M
146,HAIN,"The Hain Celestial Group, Inc.",389.42M,-2.15%,610157,1.66B
147,APEI,"American Public Education, Inc.",387.89M,-1.66%,46831,613.25M
148,LND,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,382.88M,-0.26%,17776,191.13M
149,YSG,Yatsen Holding Limited,322.78M,-1.36%,48022,472.96M
150,LWAY,"Lifeway Foods, Inc.",319.59M,0.93%,11638,181.98M
151,NUS,"Nu Skin Enterprises, Inc.",313.68M,-2.47%,67666,1.78B
152,OTLY,Oatly Group AB,299.14M,-14.30%,10298941,823.67M
153,MAMA,"Mama's Creations, Inc.",282.47M,-0.20%,21244,116.47M
154,NATR,"Nature's Sunshine Products, Inc.",275.29M,0.74%,5839,445.10M
155,AFRI,Forafric Global PLC,258.04M,0.10%,4686,325.10M
156,SKIL,Skillsoft Corp.,253.89M,-0.15%,7340,534.78M
157,NAMI,Jinxin Technology Holding Company,242.72M,7.37%,14625,56.13M
158,ISPR,Ispire Technology Inc.,241.49M,-0.67%,15973,148.52M
159,LFVN,LifeVantage Corporation,240.80M,-2.67%,134808,212.15M
160,ZVIA,Zevia PBC,239.85M,-0.45%,259523,153.39M
161,BYND,"Beyond Meat, Inc.",239.30M,-5.10%,2119116,323.47M
162,WILC,G. Willi-Food International Ltd.,233.66M,-1.75%,1637,154.48M
163,VSTA,Vasta Platform Limited,231.70M,1.40%,206,280.87M
164,ALCO,"Alico, Inc.",231.53M,-0.82%,9212,46.64M
165,SKIN,The Beauty Health Company,203.56M,0.61%,112077,347.62M
166,LXEH,"Lixiang Education Holding Co., Ltd.",166.75M,3.69%,4856,5.63M
167,CHGG,"Chegg, Inc.",147.07M,2.17%,1199663,662.08M
168,FTLF,"FitLife Brands, Inc.",141.19M,0.46%,1004,62.76M
169,ACU,Acme United Corporation,139.63M,0.32%,1064,190.49M
170,QSG,QuantaSing Group Limited,138.52M,5.86%,39681,532.70M
171,PHH,"Park Ha Biological Technology Co., Ltd.",136.50M,-0.95%,879,1.94M
172,HFFG,HF Foods Group Inc.,136.06M,0.38%,2929,1.18B
173,BRLS,Borealis Foods Inc.,132.55M,-,243,28.37M
174,DSY,Big Tree Cloud Holdings Limited,123.58M,4.59%,33121,7.32M
175,COE,51Talk Online Education Group,115.66M,-13.51%,50813,41.92M
176,LGCY,Legacy Education Inc.,107.06M,-3.02%,19749,49.64M
177,PAVS,Paranovus Entertainment Technology Ltd.,96.29M,5.93%,14088,6.54M
178,BRID,Bridgford Foods Corporation,93.49M,-,854,223.65M
179,IH,iHuman Inc.,91.84M,3.91%,38132,134.00M
180,DIT,AMCON Distributing Company,89.40M,-3.15%,341,2.20B
181,STG,Sunlands Technology Group,89.27M,-2.10%,407,292.03M
182,VFF,"Village Farms International, Inc.",86.51M,-1.42%,12475,327.85M
183,LSF,"Laird Superfood, Inc.",77.16M,2.88%,6081,40.90M
184,GROV,"Grove Collaborative Holdings, Inc.",66.70M,5.94%,112961,213.78M
185,BRFH,"Barfresh Food Group, Inc.",54.86M,-3.61%,2273,9.85M
186,MYND,"Mynd.ai, Inc.",51.04M,-0.16%,15379,357.05M
187,UG,"United-Guardian, Inc.",47.79M,-1.40%,1221,12.31M
188,BEDU,Bright Scholar Education Holdings Limited,46.08M,-1.90%,2436,243.54M
189,FARM,Farmer Bros. Co.,42.71M,0.25%,186215,344.84M
190,CLNN,Clene Inc.,36.22M,-0.90%,809,421.00K
191,COOT,Australian Oilseeds Holdings Limited,32.50M,3.67%,3761,23.79M
192,CLEU,China Liberal Education Holdings Limited,30.76M,-6.46%,11379862,2.41M
193,SOWG,Sow Good Inc.,30.67M,7.31%,82672,40.13M
194,WVVI,"Willamette Valley Vineyards, Inc.",30.26M,1.41%,4054,39.26M
195,JVA,"Coffee Holding Co., Inc.",30.14M,5.60%,56191,78.56M
196,GNS,Genius Group Limited,29.70M,40.63%,2854184,16.15M
197,SHOT,"Safety Shot, Inc.",28.93M,-1.39%,181914,652.50K
198,AACG,ATA Creativity Global,26.32M,2.59%,16184,35.75M
199,NAII,"Natural Alternatives International, Inc.",24.37M,2.65%,10887,112.98M
