,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,XOM,Exxon Mobil Corporation,474.00B,0.42%,8146503,343.39B
1,CVX,Chevron Corporation,274.27B,0.44%,3743348,198.20B
2,SHEL,Shell plc,200.59B,-0.39%,2684847,284.31B
3,TTE,TotalEnergies SE,136.89B,-0.23%,1323339,195.61B
4,COP,ConocoPhillips,125.49B,-1.44%,5022281,56.45B
5,ENB,Enbridge Inc.,96.61B,0.57%,2040074,35.94B
6,PBR,Petróleo Brasileiro S.A. - Petrobras,85.60B,-1.22%,16502814,92.53B
7,PBR.A,Petróleo Brasileiro S.A. - Petrobras,85.60B,-1.41%,4218950,92.53B
8,BP,BP p.l.c.,84.21B,0.92%,9323556,193.93B
9,EPD,Enterprise Products Partners L.P.,71.38B,0.43%,3604237,56.22B
10,EOG,"EOG Resources, Inc.",70.84B,-0.13%,1200809,23.86B
11,ET,Energy Transfer LP,68.24B,-0.52%,14419096,83.66B
12,WMB,"The Williams Companies, Inc.",68.19B,-0.12%,4070840,10.37B
13,CNQ,Canadian Natural Resources Limited,64.00B,-1.01%,5979028,26.46B
14,EQNR,Equinor ASA,63.89B,2.21%,5915148,102.50B
15,KMI,"Kinder Morgan, Inc.",60.07B,1.01%,10611560,15.10B
16,SLB,Schlumberger Limited,56.26B,0.60%,10501104,36.29B
17,OKE,"ONEOK, Inc.",55.98B,0.05%,2851791,19.93B
18,MPLX,MPLX LP,54.18B,1.59%,1473805,11.93B
19,PSX,Phillips 66,49.68B,-0.68%,2262983,143.15B
20,LNG,"Cheniere Energy, Inc.",48.79B,-0.08%,2522684,15.58B
21,TRP,TC Energy Corporation,48.53B,-0.09%,1080028,12.32B
22,SU,Suncor Energy Inc.,47.96B,0.81%,3724029,35.54B
23,MPC,Marathon Petroleum Corporation,47.44B,-1.19%,2287312,139.34B
24,FANG,"Diamondback Energy, Inc.",46.17B,-1.19%,1837255,9.16B
25,BKR,Baker Hughes Company,45.74B,-1.51%,7517283,27.83B
26,E,Eni S.p.A.,44.15B,0.25%,164152,102.82B
27,TRGP,Targa Resources Corp.,43.92B,1.23%,822011,16.22B
28,HES,Hess Corporation,43.90B,0.71%,944778,12.66B
29,OXY,Occidental Petroleum Corporation,43.90B,-0.21%,5709913,27.14B
30,VG,"Venture Global, Inc.",42.44B,0.34%,11350806,5.08B
31,VLO,Valero Energy Corporation,42.13B,-0.77%,1725885,129.88B
32,IMO,Imperial Oil Limited,34.26B,1.20%,480782,35.81B
33,TPL,Texas Pacific Land Corporation,30.91B,0.65%,57460,686.70M
34,EQT,EQT Corporation,30.50B,-0.62%,5251326,4.62B
35,CQP,"Cheniere Energy Partners, L.P.",30.09B,-0.78%,296920,8.93B
36,WDS,Woodside Energy Group Ltd,29.30B,0.72%,491915,12.58B
37,CVE,Cenovus Energy Inc.,26.98B,1.36%,7517659,41.20B
38,EXE,Expand Energy Corporation,23.80B,-0.84%,1545513,3.29B
39,HAL,Halliburton Company,22.13B,-1.14%,6771664,22.94B
40,DVN,Devon Energy Corporation,21.78B,-0.66%,4761743,14.53B
41,CCJ,Cameco Corporation,21.67B,2.38%,3291646,2.07B
42,PBA,Pembina Pipeline Corporation,21.24B,0.33%,1147940,7.31B
43,TS,Tenaris S.A.,20.57B,-0.47%,1055147,13.09B
44,CTRA,Coterra Energy Inc.,20.17B,-0.04%,2614300,5.50B
45,EC,Ecopetrol S.A.,20.03B,-0.41%,1702693,31.98B
46,YPF,YPF Sociedad Anónima,16.96B,-3.92%,1476689,15.68B
47,WES,"Western Midstream Partners, LP",15.37B,-1.06%,713880,3.53B
48,PAA,"Plains All American Pipeline, L.P.",13.65B,-2.90%,7868402,50.07B
49,FTI,TechnipFMC plc,13.10B,-0.10%,2766673,8.80B
50,AR,Antero Resources Corporation,11.78B,-1.41%,2376377,4.27B
51,PR,Permian Resources Corporation,11.54B,1.75%,5338159,4.83B
52,OVV,Ovintiv Inc.,11.07B,0.43%,1421170,9.56B
53,VNOM,"Viper Energy, Inc.",10.52B,-0.66%,1042504,794.41M
54,DTM,"DT Midstream, Inc.",10.31B,0.53%,595249,976.00M
55,KNTK,Kinetik Holdings Inc.,9.94B,0.83%,456190,1.45B
56,RRC,Range Resources Corporation,8.99B,-1.01%,1160321,2.33B
57,HESM,Hess Midstream LP,8.83B,-1.11%,588921,1.50B
58,APA,APA Corporation,8.02B,0.14%,4885430,8.96B
59,AM,Antero Midstream Corporation,7.75B,0.40%,1606165,1.15B
60,SUN,Sunoco LP,7.67B,-2.51%,448920,23.07B
61,MTDR,Matador Resources Company,7.07B,0.37%,568747,3.10B
62,DINO,HF Sinclair Corporation,6.83B,-1.23%,1870907,29.74B
63,CHRD,Chord Energy Corporation,6.69B,1.03%,728657,4.45B
64,NFG,National Fuel Gas Company,6.51B,-0.44%,388815,1.97B
65,NOV,NOV Inc.,6.08B,0.90%,4216392,8.87B
66,CHX,ChampionX Corporation,5.45B,-0.04%,2950693,3.63B
67,CRK,"Comstock Resources, Inc.",5.06B,-1.65%,1318797,1.30B
68,VIST,"Vista Energy, S.A.B. de C.V.",5.01B,-1.08%,859386,1.49B
69,NE,Noble Corporation plc,4.97B,-2.74%,1456907,2.65B
70,AROC,"Archrock, Inc.",4.90B,-0.32%,851822,1.09B
