,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,BRK.B,Berkshire Hathaway Inc.,"1,021.14B",1.33%,2580624,369.89B
1,JPM,JPMorgan Chase & Co.,756.55B,0.93%,5672773,166.88B
2,V,Visa Inc.,682.66B,1.24%,4937065,36.80B
3,MA,Mastercard Incorporated,517.63B,1.28%,1904677,28.17B
4,BAC,Bank of America Corporation,358.55B,0.86%,20016460,96.07B
5,WFC,Wells Fargo & Company,263.28B,0.73%,13660737,77.96B
6,AXP,American Express Company,225.01B,1.49%,1460434,60.76B
7,MS,Morgan Stanley,223.26B,1.58%,5203408,61.50B
8,GS,"The Goldman Sachs Group, Inc.",218.30B,1.78%,1682002,52.16B
9,BX,Blackstone Inc.,213.52B,2.35%,3215630,12.66B
10,HSBC,HSBC Holdings plc,181.83B,0.56%,1022142,57.97B
11,RY,Royal Bank of Canada,168.76B,0.32%,607067,38.83B
12,SPGI,S&P Global Inc.,159.41B,0.11%,1420857,13.77B
13,BLK,"BlackRock, Inc.",157.12B,-0.11%,709772,20.41B
14,HDB,HDFC Bank Limited,152.21B,0.82%,2177538,31.58B
15,SCHW,The Charles Schwab Corporation,149.87B,0.09%,6474547,19.61B
16,C,Citigroup Inc.,149.15B,1.25%,10616668,71.36B
17,MUFG,"Mitsubishi UFJ Financial Group, Inc.",147.06B,1.28%,1823069,39.43B
18,PGR,The Progressive Corporation,145.87B,0.40%,1122971,75.34B
19,KKR,KKR & Co. Inc.,136.62B,3.02%,5089051,26.57B
20,MMC,"Marsh & McLennan Companies, Inc.",110.75B,1.09%,1925576,24.46B
21,CB,Chubb Limited,109.31B,0.21%,761699,56.72B
22,UBS,UBS Group AG,102.55B,0.62%,3281235,48.06B
23,IBN,ICICI Bank Limited,102.50B,-,3142740,20.51B
24,TD,The Toronto-Dominion Bank,100.74B,0.24%,958635,38.21B
25,SMFG,"Sumitomo Mitsui Financial Group, Inc.",96.03B,1.35%,1662123,27.00B
26,APO,"Apollo Global Management, Inc.",93.77B,1.94%,2839277,25.89B
27,ICE,"Intercontinental Exchange, Inc.",92.27B,0.87%,2971597,9.16B
28,BN,Brookfield Corporation,90.11B,1.78%,1244128,93.22B
29,MCO,Moody's Corporation,89.86B,0.55%,832236,6.90B
30,CME,CME Group Inc.,87.08B,-0.37%,1342027,6.03B
31,SAN,"Banco Santander, S.A.",85.15B,9.55%,7356659,51.32B
32,AON,Aon plc,82.70B,1.31%,758479,15.70B
33,AJG,Arthur J. Gallagher & Co.,79.01B,1.31%,1144777,10.93B
34,PNC,"The PNC Financial Services Group, Inc.",78.75B,-0.05%,1735707,20.77B
35,PYPL,"PayPal Holdings, Inc.",78.35B,1.90%,23020168,31.80B
36,COF,Capital One Financial Corporation,77.68B,1.83%,2024485,27.40B
37,USB,U.S. Bancorp,73.91B,-0.15%,9179823,25.10B
38,BMO,Bank of Montreal,72.06B,0.92%,388714,20.84B
39,MFG,"Mizuho Financial Group, Inc.",70.01B,0.73%,1345253,24.39B
40,COIN,"Coinbase Global, Inc.",68.88B,-1.87%,5303641,5.00B
41,NU,Nu Holdings Ltd.,65.18B,1.95%,34056798,5.46B
42,TFC,Truist Financial Corporation,62.73B,0.61%,4213254,11.41B
43,BNS,The Bank of Nova Scotia,62.23B,0.60%,2063769,21.16B
44,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",61.61B,1.23%,1149004,32.26B
45,BK,The Bank of New York Mellon Corporation,61.53B,1.04%,2244485,18.55B
46,AFL,Aflac Incorporated,59.60B,0.50%,1558281,18.93B
47,ARES,Ares Management Corporation,59.37B,-2.92%,2500111,3.88B
48,MET,"MetLife, Inc.",58.58B,0.44%,4097858,70.99B
49,CM,Canadian Imperial Bank of Commerce,58.22B,0.05%,496932,16.94B
50,TRV,"The Travelers Companies, Inc.",55.82B,0.93%,950168,46.42B
51,ITUB,Itaú Unibanco Holding S.A.,54.10B,1.37%,37877212,24.30B
52,BCS,Barclays PLC,53.18B,1.43%,9529990,31.63B
53,AMP,"Ameriprise Financial, Inc.",51.78B,0.54%,372016,17.45B
54,MFC,Manulife Financial Corporation,51.54B,0.61%,1171028,22.27B
55,ING,ING Groep N.V.,51.30B,-0.12%,1840561,22.18B
56,ALL,The Allstate Corporation,51.14B,1.12%,1286459,64.11B
57,DFS,Discover Financial Services,50.70B,1.66%,702513,15.96B
58,HOOD,"Robinhood Markets, Inc.",47.91B,3.08%,16358904,2.41B
59,NDAQ,"Nasdaq, Inc.",47.62B,1.40%,3391915,7.40B
60,LYG,Lloyds Banking Group plc,46.97B,1.97%,11527725,24.87B
61,AIG,"American International Group, Inc.",45.77B,0.91%,1893640,45.30B
62,MSCI,MSCI Inc.,45.23B,-0.40%,755424,2.86B
63,NWG,NatWest Group plc,43.73B,2.88%,2471085,18.75B
64,PRU,"Prudential Financial, Inc.",40.45B,-3.30%,3485048,65.42B
65,OWL,Blue Owl Capital Inc.,37.26B,1.26%,8452265,2.16B
66,DB,Deutsche Bank Aktiengesellschaft,36.62B,0.32%,1996957,29.26B
67,ACGL,Arch Capital Group Ltd.,34.87B,0.31%,1518289,16.87B
68,RJF,"Raymond James Financial, Inc.",33.89B,0.58%,785785,13.33B
69,SLF,Sun Life Financial Inc.,33.26B,0.33%,379666,24.10B
70,MTB,M&T Bank Corporation,32.90B,0.42%,794549,8.67B
71,HIG,"The Hartford Financial Services Group, Inc.",32.67B,1.46%,1851778,26.54B
72,WTW,Willis Towers Watson Public Limited Company,32.00B,0.11%,761459,9.93B
73,BRO,"Brown & Brown, Inc.",30.54B,0.97%,1372354,4.71B
74,FCNCA,"First Citizens BancShares, Inc.",29.81B,1.07%,42922,9.33B
75,TW,Tradeweb Markets Inc.,29.57B,-0.41%,1214263,1.63B
76,FITB,Fifth Third Bancorp,29.46B,0.25%,3430632,7.95B
77,FCNCO,"First Citizens BancShares, Inc.",29.43B,0.62%,13705,9.33B
78,STT,State Street Corporation,28.68B,0.97%,1257823,12.93B
79,LPLA,LPL Financial Holdings Inc.,27.36B,1.27%,622611,12.11B
80,SYF,Synchrony Financial,26.35B,2.93%,4461128,9.39B
81,IBKR,"Interactive Brokers Group, Inc.",25.42B,5.40%,2781321,5.19B
82,RKT,"Rocket Companies, Inc.",25.33B,4.36%,3038081,4.30B
83,HBAN,Huntington Bancshares Incorporated,24.60B,0.30%,20961263,6.97B
84,TROW,"T. Rowe Price Group, Inc.",24.59B,-4.20%,3119459,7.09B
85,BAM,Brookfield Asset Management Ltd.,24.28B,1.02%,1347972,-
86,IX,ORIX Corporation,24.12B,0.91%,37721,19.95B
87,MKL,Markel Group Inc.,23.93B,1.19%,89219,16.62B
88,KB,KB Financial Group Inc.,23.62B,-3.89%,229051,10.74B
89,TPG,TPG Inc.,23.30B,-0.31%,1335160,3.41B
90,WRB,W. R. Berkley Corporation,23.13B,0.93%,1000089,13.64B
91,NTRS,Northern Trust Corporation,22.19B,1.65%,1146976,8.29B
92,RF,Regions Financial Corporation,22.10B,-0.16%,4776158,6.60B
93,CBOE,"Cboe Global Markets, Inc.",21.80B,-0.44%,745093,3.96B
94,PUK,Prudential plc,21.60B,-1.08%,754045,10.94B
95,BBD,Banco Bradesco S.A.,21.41B,2.50%,41879869,13.85B
96,CINF,Cincinnati Financial Corporation,21.38B,0.84%,535186,12.16B
97,ERIE,Erie Indemnity Company,21.27B,0.86%,103726,3.69B
98,CFG,"Citizens Financial Group, Inc.",20.99B,1.30%,3224694,7.12B
99,NMR,"Nomura Holdings, Inc.",20.14B,8.05%,1599213,11.99B
100,KEY,KeyCorp,19.76B,-0.56%,9176183,4.24B
101,CRBG,"Corebridge Financial, Inc.",18.90B,1.28%,1474736,15.98B
102,CG,The Carlyle Group Inc.,18.81B,0.77%,2178027,4.64B
103,TRU,TransUnion,18.81B,-1.22%,1311164,4.10B
104,L,Loews Corporation,18.79B,0.63%,302643,17.22B
105,PFG,"Principal Financial Group, Inc.",18.43B,-0.15%,1559248,14.07B
106,RYAN,"Ryan Specialty Holdings, Inc.",18.02B,0.53%,774262,2.32B
107,FDS,FactSet Research Systems Inc.,17.83B,0.42%,129689,2.23B
108,BSBR,Banco Santander (Brasil) S.A.,17.33B,4.86%,1709957,8.67B
109,SHG,"Shinhan Financial Group Co., Ltd.",17.18B,-0.40%,135172,11.37B
110,SOFI,"SoFi Technologies, Inc.",16.97B,1.31%,27527533,2.64B
111,EQH,"Equitable Holdings, Inc.",16.76B,0.47%,3762599,12.44B
112,FNF,"Fidelity National Financial, Inc.",15.98B,1.27%,638115,13.53B
113,JEF,Jefferies Financial Group Inc.,15.52B,0.79%,1514851,7.01B
114,RGA,"Reinsurance Group of America, Incorporated",15.12B,1.23%,323519,21.87B
115,ARCC,Ares Capital Corporation,14.92B,-2.98%,14345691,2.99B
116,BAP,Credicorp Ltd.,14.89B,0.70%,105549,4.67B
117,EG,"Everest Group, Ltd.",14.60B,-0.56%,653195,17.16B
118,EWBC,"East West Bancorp, Inc.",14.03B,-0.27%,963247,2.39B
119,MORN,"Morningstar, Inc.",13.95B,-0.10%,87927,2.22B
120,UNM,Unum Group,13.88B,2.33%,2133093,12.89B
121,CNA,CNA Financial Corporation,13.23B,0.29%,202892,14.09B
122,FUTU,Futu Holdings Limited,12.98B,-4.66%,1206543,1.31B
123,HLI,"Houlihan Lokey, Inc.",12.87B,1.82%,247169,2.24B
124,BCH,Banco de Chile,12.80B,0.60%,90604,2.68B
125,RNR,RenaissanceRe Holdings Ltd.,11.74B,0.68%,623272,11.77B
126,ALLY,Ally Financial Inc.,11.67B,0.10%,2926591,6.82B
127,GGAL,Grupo Financiero Galicia S.A.,11.66B,-2.63%,569063,4.43B
128,SF,Stifel Financial Corp.,11.57B,0.94%,559265,4.97B
129,FHN,First Horizon Corporation,11.55B,1.24%,4104965,3.04B
130,EVR,Evercore Inc.,11.52B,0.78%,669400,2.98B
131,KNSL,"Kinsale Capital Group, Inc.",11.29B,6.06%,237408,1.53B
132,AIZ,"Assurant, Inc.",11.02B,1.23%,224159,11.76B
133,SEIC,SEI Investments Company,10.95B,0.19%,388487,2.13B
134,BEN,"Franklin Resources, Inc.",10.85B,-0.77%,3777204,8.74B
135,SSB,SouthState Corporation,10.82B,1.75%,385156,1.70B
136,AFG,"American Financial Group, Inc.",10.70B,-6.23%,1009225,7.99B
137,WBS,Webster Financial Corporation,10.37B,0.42%,516508,2.37B
138,GL,Globe Life Inc.,10.33B,0.54%,587098,5.78B
139,AEG,Aegon Ltd.,10.31B,0.31%,3409980,13.64B
140,BNT,Brookfield Wealth Solutions Ltd.,10.19B,1.33%,5716,10.69B
141,BSAC,Banco Santander-Chile,10.06B,1.05%,282533,2.11B
142,PRI,"Primerica, Inc.",9.87B,1.60%,122248,3.14B
143,WAL,Western Alliance Bancorporation,9.68B,2.52%,1091966,3.02B
144,UWMC,UWM Holdings Corporation,9.62B,0.84%,2422106,2.73B
145,CIB,Bancolombia S.A.,9.62B,-0.31%,349912,5.14B
146,PNFP,"Pinnacle Financial Partners, Inc.",9.59B,1.32%,425252,1.62B
147,HLNE,Hamilton Lane Incorporated,9.53B,5.44%,716776,691.66M
148,CBSH,"Commerce Bancshares, Inc.",9.17B,1.35%,397756,1.63B
149,ORI,Old Republic International Corporation,9.14B,0.50%,658042,8.23B
150,CFR,"Cullen/Frost Bankers, Inc.",9.00B,1.20%,388232,2.00B
151,CMA,Comerica Incorporated,8.99B,0.83%,2315011,3.20B
152,FRHC,Freedom Holding Corp.,8.89B,2.52%,71085,1.31B
153,WTFC,Wintrust Financial Corporation,8.62B,0.37%,337525,2.35B
154,UMBF,UMB Financial Corporation,8.55B,2.52%,814941,1.57B
155,ZION,"Zions Bancorporation, National Association",8.49B,0.63%,810823,3.06B
156,IVZ,Invesco Ltd.,8.39B,1.85%,2261393,6.07B
157,WF,Woori Financial Group Inc.,8.04B,0.40%,37309,7.57B
158,SNV,Synovus Financial Corp.,7.99B,0.66%,763889,1.85B
159,STEP,StepStone Group Inc.,7.79B,3.15%,665967,800.28M
160,AXS,AXIS Capital Holdings Limited,7.74B,2.46%,600911,5.96B
161,ONB,Old National Bancorp,7.70B,1.26%,2178538,1.76B
162,PB,"Prosperity Bancshares, Inc.",7.69B,0.55%,481746,1.18B
163,OBDC,Blue Owl Capital Corporation,7.67B,-0.53%,2802451,1.61B
164,XP,XP Inc.,7.49B,-0.36%,6635239,2.92B
165,MKTX,MarketAxess Holdings Inc.,7.47B,-8.85%,1289683,811.94M
166,PJT,PJT Partners Inc.,7.29B,1.81%,307099,1.49B
167,JHG,Janus Henderson Group plc,7.25B,4.36%,1630341,2.47B
168,BPOP,"Popular, Inc.",7.17B,0.88%,365587,2.68B
169,BOKF,BOK Financial Corporation,7.10B,1.23%,102983,2.03B
170,RLI,RLI Corp.,7.07B,2.21%,566615,1.77B
171,VOYA,"Voya Financial, Inc.",6.95B,5.54%,3592943,8.05B
172,BMA,Banco Macro S.A.,6.82B,-3.72%,310017,3.38B
173,OMF,"OneMain Holdings, Inc.",6.78B,3.41%,830911,2.50B
174,JXN,Jackson Financial Inc.,6.74B,0.85%,505071,4.06B
175,COOP,Mr. Cooper Group Inc.,6.70B,1.02%,394676,1.98B
176,CRVL,CorVel Corporation,6.60B,3.07%,197916,871.31M
177,FAF,First American Financial Corporation,6.58B,1.67%,280887,5.87B
178,CADE,Cadence Bank,6.48B,1.00%,947137,1.72B
179,FSK,FS KKR Capital Corp.,6.47B,-0.56%,1175533,1.76B
180,MTG,MGIC Investment Corporation,6.34B,-0.27%,1832652,1.21B
181,VIRT,"Virtu Financial, Inc.",6.33B,2.17%,1040823,2.22B
182,SLM,SLM Corporation,6.30B,3.24%,2731645,1.44B
183,ESNT,Essent Group Ltd.,6.29B,1.67%,572780,1.18B
184,CACC,Credit Acceptance Corporation,6.26B,0.12%,73855,928.20M
185,QFIN,"Qifu Technology, Inc.",6.23B,-2.15%,842864,2.45B
186,HOMB,"Home Bancshares, Inc. (Conway, AR)",6.14B,1.51%,541911,969.28M
187,MC,Moelis & Company,6.11B,2.67%,1261684,1.19B
188,COLB,"Columbia Banking System, Inc.",5.96B,1.36%,1279353,1.82B
189,UPST,"Upstart Holdings, Inc.",5.93B,2.65%,2891072,604.94M
190,OZK,Bank OZK,5.90B,2.24%,1123697,1.48B
191,VLY,Valley National Bancorp,5.79B,0.19%,5927015,1.52B
192,MARA,"MARA Holdings, Inc.",5.78B,-3.51%,22989054,598.75M
193,MAIN,Main Street Capital Corporation,5.78B,-1.07%,616525,529.90M
194,THG,"The Hanover Insurance Group, Inc.",5.77B,4.76%,507999,6.24B
195,LNC,Lincoln National Corporation,5.75B,0.24%,2098622,13.55B
