,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,LLY,Eli Lilly and Company,790.66B,0.89%,3668639,45.04B
1,UNH,UnitedHealth Group Incorporated,485.02B,-0.59%,2620410,400.28B
2,NVO,Novo Nordisk A/S,386.78B,-0.98%,8699601,40.31B
3,JNJ,Johnson & Johnson,368.66B,-0.33%,4677316,88.82B
4,ABBV,AbbVie Inc.,336.82B,-1.14%,2391040,56.33B
5,ABT,Abbott Laboratories,223.87B,-0.13%,3259160,41.95B
6,AZN,AstraZeneca PLC,223.06B,-0.70%,6223587,54.07B
7,MRK,"Merck & Co., Inc.",220.79B,-0.87%,12870005,64.17B
8,TMO,Thermo Fisher Scientific Inc.,218.59B,-0.22%,1826948,42.88B
9,NVS,Novartis AG,210.33B,-1.36%,1925753,51.72B
10,ISRG,"Intuitive Surgical, Inc.",207.92B,-0.72%,1023546,8.35B
11,AMGN,Amgen Inc.,157.63B,-1.42%,2882127,33.42B
12,BSX,Boston Scientific Corporation,155.12B,0.74%,5471794,16.75B
13,SYK,Stryker Corporation,149.21B,-1.18%,850711,22.60B
14,DHR,Danaher Corporation,148.68B,-1.50%,4709475,23.88B
15,PFE,Pfizer Inc.,145.87B,-0.39%,31998032,63.63B
16,SNY,Sanofi,133.37B,1.99%,2318989,45.85B
17,VRTX,Vertex Pharmaceuticals Incorporated,120.86B,-2.46%,1191471,10.63B
18,GILD,"Gilead Sciences, Inc.",119.69B,-2.05%,6902321,28.30B
19,MDT,Medtronic plc,115.42B,-0.74%,6317129,33.00B
20,BMY,Bristol-Myers Squibb Company,115.30B,-0.99%,14214628,48.30B
21,ELV,"Elevance Health, Inc.",90.78B,0.24%,1073302,176.81B
22,HCA,"HCA Healthcare, Inc.",81.57B,-0.16%,1341257,70.60B
23,CI,The Cigna Group,79.75B,-0.18%,1122458,247.12B
24,ZTS,Zoetis Inc.,77.34B,-1.54%,1496412,9.15B
25,REGN,"Regeneron Pharmaceuticals, Inc.",75.99B,-1.74%,813241,14.20B
26,MCK,McKesson Corporation,74.66B,-0.68%,715172,344.58B
27,GSK,GSK plc,73.04B,-0.14%,4945495,39.28B
28,CVS,CVS Health Corporation,67.97B,-0.42%,4945010,367.25B
29,BDX,"Becton, Dickinson and Company",66.00B,1.16%,3457354,20.64B
30,COR,"Cencora, Inc.",48.07B,0.71%,2374547,303.19B
