,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,GE,General Electric Company,225.97B,0.82%,1916639,38.70B
1,CAT,Caterpillar Inc.,170.69B,-2.40%,633102,64.81B
2,RTX,RTX Corporation,169.73B,-1.32%,1179506,80.74B
3,UNP,Union Pacific Corporation,148.79B,-0.55%,696467,24.25B
4,BA,The Boeing Company,137.16B,1.34%,2221024,66.52B
5,HON,Honeywell International Inc.,133.83B,-0.54%,1111422,38.50B
6,DE,Deere & Company,128.81B,-0.28%,660649,51.53B
7,ETN,Eaton Corporation plc,122.55B,-1.81%,1057045,24.88B
8,LMT,Lockheed Martin Corporation,105.25B,-0.49%,441838,71.04B
9,UPS,"United Parcel Service, Inc.",97.63B,-0.11%,1627946,91.07B
10,RELX,RELX PLC,94.78B,-0.23%,243346,11.76B
11,WM,"Waste Management, Inc.",91.31B,0.33%,376512,22.06B
12,PH,Parker-Hannifin Corporation,87.01B,-0.85%,162128,19.91B
13,CTAS,Cintas Corporation,82.69B,-0.24%,255560,9.94B
14,TT,Trane Technologies plc,81.30B,-0.63%,527295,19.84B
15,MMM,3M Company,81.11B,-1.11%,559278,24.58B
16,TRI,Thomson Reuters Corporation,80.30B,-1.11%,147284,7.26B
17,TDG,TransDigm Group Incorporated,76.48B,0.17%,102067,8.16B
18,ITW,Illinois Tool Works Inc.,75.38B,-1.35%,328212,15.90B
19,CP,Canadian Pacific Kansas City Limited,73.07B,-0.85%,568579,10.11B
20,EMR,Emerson Electric Co.,70.62B,-1.16%,498742,17.55B
21,RSG,"Republic Services, Inc.",70.22B,0.11%,362222,15.82B
22,GD,General Dynamics Corporation,68.67B,-1.01%,1095642,47.72B
23,NOC,Northrop Grumman Corporation,68.43B,-0.23%,275592,41.03B
24,CNI,Canadian National Railway Company,64.47B,-0.66%,302585,11.85B
25,CSX,CSX Corporation,63.44B,-1.07%,2269718,14.54B
26,FDX,FedEx Corporation,63.03B,0.17%,358765,87.39B
27,JCI,Johnson Controls International plc,58.58B,-0.57%,970636,23.17B
28,NSC,Norfolk Southern Corporation,57.80B,-0.96%,217638,12.12B
29,CARR,Carrier Global Corporation,57.05B,-2.42%,2423446,22.49B
30,CPRT,"Copart, Inc.",56.92B,-0.27%,908495,4.36B
31,PCAR,PACCAR Inc,54.00B,-2.73%,1347596,33.66B
32,HWM,Howmet Aerospace Inc.,52.62B,0.15%,906845,7.27B
33,AXON,"Axon Enterprise, Inc.",50.57B,-0.91%,182552,1.94B
34,CMI,Cummins Inc.,50.18B,-1.97%,150828,34.10B
35,GWW,"W.W. Grainger, Inc.",50.17B,-1.55%,182904,17.17B
36,WCN,"Waste Connections, Inc.",49.18B,0.35%,330860,8.69B
37,URI,"United Rentals, Inc.",47.73B,-3.07%,179764,15.35B
38,PWR,"Quanta Services, Inc.",44.10B,-1.34%,600716,22.90B
39,ODFL,"Old Dominion Freight Line, Inc.",43.06B,-1.87%,482382,5.81B
40,AME,"AMETEK, Inc.",42.64B,-0.54%,303362,6.94B
41,DAL,"Delta Air Lines, Inc.",42.53B,1.63%,2617961,61.64B
42,VRT,Vertiv Holdings Co,42.50B,-8.12%,11172170,8.01B
43,FAST,Fastenal Company,42.26B,-0.84%,388494,7.55B
44,VRSK,"Verisk Analytics, Inc.",41.43B,-1.34%,126053,2.82B
45,LHX,"L3Harris Technologies, Inc.",38.25B,-3.19%,728556,21.33B
46,OTIS,Otis Worldwide Corporation,38.23B,-0.28%,799417,14.26B
47,IR,Ingersoll Rand Inc.,36.67B,-1.29%,296514,7.16B
48,FERG,Ferguson Enterprises Inc.,35.92B,-1.64%,456250,29.70B
49,UAL,"United Airlines Holdings, Inc.",34.60B,2.04%,2372581,57.06B
50,ROK,"Rockwell Automation, Inc.",34.18B,-0.48%,343022,8.09B
51,WAB,Westinghouse Air Brake Technologies Corporation,32.41B,-9.40%,1981234,10.33B
52,FER,Ferrovial SE,32.12B,0.71%,22038,9.47B
53,HEI,HEICO Corporation,31.84B,-1.74%,93436,3.86B
54,XYL,Xylem Inc.,31.80B,-0.87%,591709,8.56B
55,EFX,Equifax Inc.,30.95B,-1.64%,390266,5.68B
56,HEI.A,HEICO Corporation,28.44B,-1.20%,26538,3.86B
57,DOV,Dover Corporation,27.52B,-1.15%,157818,7.75B
58,GPN,Global Payments Inc.,27.47B,0.73%,897006,10.02B
59,VLTO,Veralto Corporation,24.75B,0.29%,344408,5.19B
60,RYAAY,Ryanair Holdings plc,22.07B,1.44%,817822,14.31B
61,LII,Lennox International Inc.,21.57B,0.51%,146367,5.34B
62,HUBB,Hubbell Incorporated,21.06B,-1.55%,218466,5.63B
63,EME,"EMCOR Group, Inc.",20.14B,-2.14%,152552,14.24B
