,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,PLD,"Prologis, Inc.",113.04B,-1.45%,1138370,8.56B
1,WELL,Welltower Inc.,93.68B,2.83%,1363949,7.99B
2,EQIX,"Equinix, Inc.",90.52B,-0.58%,173170,8.15B
3,AMT,American Tower Corporation,88.54B,-1.99%,511666,11.17B
4,SPG,"Simon Property Group, Inc.",68.93B,-0.85%,316946,5.96B
5,DLR,"Digital Realty Trust, Inc.",55.47B,-0.89%,542043,5.37B
6,PSA,Public Storage,52.74B,-1.64%,102535,4.70B
7,O,Realty Income Corporation,47.34B,-0.84%,1541466,5.01B
8,CBRE,"CBRE Group, Inc.",42.31B,-0.80%,1321152,34.31B
9,CCI,Crown Castle Inc.,38.99B,-1.77%,536186,6.59B
10,EXR,Extra Space Storage Inc.,34.06B,-2.27%,176914,3.31B
11,VICI,VICI Properties Inc.,31.35B,-0.88%,2310836,3.81B
12,AVB,"AvalonBay Communities, Inc.",31.02B,-0.41%,69114,2.96B
13,CSGP,"CoStar Group, Inc.",30.30B,-2.72%,891772,2.67B
14,IRM,Iron Mountain Incorporated,30.11B,-3.40%,1420074,5.99B
15,EQR,Equity Residential,27.87B,-0.22%,193748,2.98B
16,VTR,"Ventas, Inc.",25.21B,0.05%,785200,4.80B
17,BEKE,KE Holdings Inc.,25.16B,7.88%,10951335,11.77B
18,SBAC,SBA Communications Corporation,22.19B,-1.48%,137427,2.66B
19,WY,Weyerhaeuser Company,21.42B,-1.90%,449445,7.12B
20,ESS,"Essex Property Trust, Inc.",19.51B,0.46%,136473,1.83B
21,INVH,Invitation Homes Inc.,19.41B,0.17%,374108,2.55B
22,MAA,"Mid-America Apartment Communities, Inc.",18.67B,-0.67%,144816,2.19B
23,ARE,"Alexandria Real Estate Equities, Inc.",16.37B,-0.43%,367649,3.12B
24,SUI,"Sun Communities, Inc.",16.24B,-1.24%,102943,3.19B
25,UDR,"UDR, Inc.",15.49B,-0.44%,249860,1.69B
26,KIM,Kimco Realty Corporation,14.98B,-1.76%,761331,2.04B
27,AMH,American Homes 4 Rent,14.87B,-0.01%,314822,1.70B
28,LINE,"Lineage, Inc.",14.30B,-1.27%,136645,5.33B
29,DOC,"Healthpeak Properties, Inc.",13.83B,-1.27%,1235513,2.70B
30,GLPI,"Gaming and Leisure Properties, Inc.",13.67B,-0.96%,149690,1.51B
31,REG,Regency Centers Corporation,13.42B,-0.40%,282127,1.50B
32,ELS,"Equity LifeStyle Properties, Inc.",13.30B,-0.70%,174753,1.53B
33,JLL,Jones Lang LaSalle Incorporated,13.02B,-1.00%,102221,22.50B
34,CPT,Camden Property Trust,12.82B,-1.29%,168923,1.56B
35,LAMR,Lamar Advertising Company,12.81B,-0.80%,223412,2.19B
36,WPC,W. P. Carey Inc.,12.49B,1.66%,660652,1.58B
37,BXP,"BXP, Inc.",12.30B,-2.92%,366526,3.05B
