,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,AAPL,Apple Inc.,"3,492.18B",-0.14%,38946842,395.76B
1,MSFT,Microsoft Corporation,"3,072.39B",0.22%,16240747,261.80B
2,NVDA,NVIDIA Corporation,"3,057.09B",5.21%,259004978,113.27B
3,AVGO,Broadcom Inc.,"1,087.47B",4.30%,28922901,51.57B
4,TSM,Taiwan Semiconductor Manufacturing Company Limited,872.56B,2.22%,9843012,88.29B
5,ORCL,Oracle Corporation,480.13B,2.25%,6189307,54.93B
6,CRM,"Salesforce, Inc.",332.97B,1.10%,4436365,37.19B
7,SAP,SAP SE,328.20B,1.83%,560376,35.38B
8,ASML,ASML Holding N.V.,289.70B,1.53%,1245854,29.26B
9,CSCO,"Cisco Systems, Inc.",249.20B,2.01%,15992143,52.98B
10,ACN,Accenture plc,249.10B,1.69%,3461579,66.36B
11,IBM,International Business Machines Corporation,243.46B,-0.44%,6089478,62.75B
12,PLTR,Palantir Technologies Inc.,230.90B,-2.38%,90307648,2.87B
13,NOW,"ServiceNow, Inc.",211.57B,1.68%,1181401,10.98B
14,QCOM,QUALCOMM Incorporated,194.39B,1.63%,11980219,40.70B
15,ADBE,Adobe Inc.,190.50B,-0.59%,2929217,21.51B
16,ARM,Arm Holdings plc,182.10B,6.82%,11625617,3.69B
17,AMD,"Advanced Micro Devices, Inc.",181.77B,-6.27%,109880341,25.79B
18,TXN,Texas Instruments Incorporated,165.43B,0.57%,5934063,15.64B
19,INTU,Intuit Inc.,164.66B,-0.58%,2133038,16.59B
20,SHOP,Shopify Inc.,157.29B,2.12%,5401812,8.21B
21,AMAT,"Applied Materials, Inc.",146.83B,1.18%,3950460,27.18B
22,ANET,Arista Networks Inc,145.49B,2.82%,5232138,6.61B
23,SONY,Sony Group Corporation,139.19B,1.78%,3657755,91.76B
24,UBER,"Uber Technologies, Inc.",135.78B,-7.56%,74772959,43.98B
25,FI,"Fiserv, Inc.",130.58B,7.15%,4938284,20.46B
26,ADP,"Automatic Data Processing, Inc.",125.38B,1.14%,1633430,19.90B
27,APP,AppLovin Corporation,123.59B,-3.15%,3557563,4.29B
28,PANW,"Palo Alto Networks, Inc.",122.61B,1.88%,3806581,8.29B
29,LRCX,Lam Research Corporation,105.18B,2.54%,10698649,16.21B
30,MU,"Micron Technology, Inc.",104.29B,3.24%,15055171,29.09B
31,ADI,"Analog Devices, Inc.",104.08B,1.84%,4432753,9.43B
32,CRWD,"CrowdStrike Holdings, Inc.",102.77B,2.38%,3054422,3.74B
33,KLAC,KLA Corporation,100.88B,1.31%,674006,10.85B
34,MRVL,"Marvell Technology, Inc.",100.77B,6.17%,13451616,5.38B
35,INFY,Infosys Limited,89.96B,-0.31%,9910867,19.11B
36,INTC,Intel Corporation,85.08B,1.87%,60860833,53.10B
37,MSTR,MicroStrategy Incorporated,84.89B,-3.33%,10428245,463.46M
38,TEAM,Atlassian Corporation,84.05B,1.29%,1602011,4.79B
39,APH,Amphenol Corporation,83.81B,-0.27%,7559819,15.22B
40,CDNS,"Cadence Design Systems, Inc.",83.01B,0.99%,986641,4.35B
41,SNPS,"Synopsys, Inc.",81.68B,0.87%,546571,6.13B
42,FTNT,"Fortinet, Inc.",80.53B,2.23%,4146578,5.71B
43,MSI,"Motorola Solutions, Inc.",80.39B,2.05%,492330,10.66B
44,WDAY,"Workday, Inc.",73.46B,6.33%,5235654,8.16B
45,DELL,Dell Technologies Inc.,72.88B,2.73%,7856525,93.95B
46,ADSK,"Autodesk, Inc.",66.89B,1.47%,945497,5.96B
47,SNOW,Snowflake Inc.,62.37B,-0.10%,4374228,3.41B
48,ROP,"Roper Technologies, Inc.",62.35B,0.65%,480899,7.04B
49,TTD,"The Trade Desk, Inc.",56.44B,0.70%,4493773,2.31B
50,PAYX,"Paychex, Inc.",54.32B,0.91%,1533331,5.37B
51,NXPI,NXP Semiconductors N.V.,54.20B,5.36%,4423991,12.61B
52,XYZ,"Block, Inc.",53.30B,-0.20%,3763899,23.86B
53,NET,"Cloudflare, Inc.",49.52B,2.96%,3456135,1.57B
54,DDOG,"Datadog, Inc.",49.21B,-0.67%,4815643,2.54B
55,FICO,Fair Isaac Corporation,45.12B,2.11%,659957,1.78B
56,FIS,"Fidelity National Information Services, Inc.",44.27B,0.87%,1594412,10.03B
57,TEL,TE Connectivity plc,43.63B,1.00%,840257,15.85B
58,GLW,Corning Incorporated,43.32B,2.40%,5672216,13.12B
59,GRMN,Garmin Ltd.,42.02B,0.29%,395644,5.96B
60,IT,"Gartner, Inc.",41.74B,-1.11%,519596,6.27B
61,CTSH,Cognizant Technology Solutions Corporation,41.45B,0.07%,4778118,19.41B
62,HUBS,"HubSpot, Inc.",40.25B,2.11%,236510,2.51B
63,WIT,Wipro Limited,37.97B,-0.27%,7165509,10.38B
64,MPWR,"Monolithic Power Systems, Inc.",31.90B,-0.37%,864778,2.04B
65,ZS,"Zscaler, Inc.",31.45B,0.62%,1243654,2.30B
66,KEYS,"Keysight Technologies, Inc.",30.69B,0.88%,695561,4.98B
67,HPQ,HP Inc.,30.54B,1.75%,5517926,53.56B
68,ANSS,"ANSYS, Inc.",30.35B,0.01%,402553,2.47B
69,IOT,Samsara Inc.,30.30B,2.68%,2259253,1.18B
70,GDDY,GoDaddy Inc.,29.46B,-0.27%,787390,4.48B
71,MCHP,Microchip Technology Incorporated,28.73B,1.71%,11650890,5.50B
72,HPE,Hewlett Packard Enterprise Company,28.10B,2.54%,12057941,30.13B
73,BR,"Broadridge Financial Solutions, Inc.",28.10B,-0.21%,404332,6.68B
